model,script_id,order,history_mode,step,agreement_rate,mean_abs_diff
gemma2_9b,C06,reverse,history,C4,1.0,0.0
gemma2_9b,C06,reverse,history,R,1.0,0.0
gemma2_9b,C06,reverse,no_history,C1,1.0,0.0
gemma2_9b,C06,reverse,no_history,C2,1.0,0.0
gemma2_9b,C06,reverse,no_history,C3,1.0,0.0
gemma2_9b,C06,reverse,no_history,C4,1.0,0.0
gemma2_9b,C06,reverse,no_history,R,1.0,0.0
gemma2_9b,C07,forward,history,C1,1.0,0.0
gemma2_9b,C07,forward,history,C2,1.0,0.0
gemma2_9b,C07,forward,history,C3,1.0,0.0
gemma2_9b,C07,forward,history,C4,1.0,0.0
gemma2_9b,C07,forward,history,R,1.0,0.0
gemma2_9b,C07,forward,no_history,C1,1.0,0.0
gemma2_9b,C07,forward,no_history,C2,1.0,0.0
gemma2_9b,C07,forward,no_history,C3,1.0,0.0
gemma2_9b,C07,forward,no_history,C4,1.0,0.0
gemma2_9b,C07,forward,no_history,R,1.0,0.0
gemma2_9b,C07,reverse,history,C1,1.0,0.0
gemma2_9b,C07,reverse,history,C2,1.0,0.0
gemma2_9b,C07,reverse,history,C3,1.0,0.0
gemma2_9b,C07,reverse,history,C4,1.0,0.0
gemma2_9b,C07,reverse,history,R,1.0,0.0
gemma2_9b,C07,reverse,no_history,C1,1.0,0.0
gemma2_9b,C07,reverse,no_history,C2,1.0,0.0
gemma2_9b,C07,reverse,no_history,C3,1.0,0.0
gemma2_9b,C07,reverse,no_history,C4,1.0,0.0
gemma2_9b,C07,reverse,no_history,R,1.0,0.0
gemma2_9b,C08,forward,history,C1,1.0,0.0
gemma2_9b,C08,forward,history,C2,1.0,0.0
gemma2_9b,C08,forward,history,C3,1.0,0.0
gemma2_9b,C08,forward,history,C4,1.0,0.0
gemma2_9b,C08,forward,history,R,1.0,0.0
gemma2_9b,C08,forward,no_history,C1,1.0,0.0
gemma2_9b,C08,forward,no_history,C2,1.0,0.0
gemma2_9b,C08,forward,no_history,C3,1.0,0.0
gemma2_9b,C08,forward,no_history,C4,1.0,0.0
gemma2_9b,C08,forward,no_history,R,1.0,0.0
gemma2_9b,C08,reverse,history,C1,1.0,0.0
gemma2_9b,C08,reverse,history,C2,1.0,0.0
gemma2_9b,C08,reverse,history,C3,1.0,0.0
gemma2_9b,C08,reverse,history,C4,1.0,0.0
gemma2_9b,C08,reverse,history,R,1.0,0.0
gemma2_9b,C08,reverse,no_history,C1,1.0,0.0
gemma2_9b,C08,reverse,no_history,C2,1.0,0.0
gemma2_9b,C08,reverse,no_history,C3,1.0,0.0
gemma2_9b,C08,reverse,no_history,C4,1.0,0.0
gemma2_9b,C08,reverse,no_history,R,1.0,0.0
gemma2_9b,C09,forward,history,C1,1.0,0.0
gemma2_9b,C09,forward,history,C2,1.0,0.0
gemma2_9b,C09,forward,history,C3,1.0,0.0
gemma2_9b,C09,forward,history,C4,1.0,0.0
gemma2_9b,C09,forward,history,R,1.0,0.0
gemma2_9b,C09,forward,no_history,C1,1.0,0.0
gemma2_9b,C09,forward,no_history,C2,1.0,0.0
gemma2_9b,C09,forward,no_history,C3,1.0,0.0
gemma2_9b,C09,forward,no_history,C4,1.0,0.0
gemma2_9b,C09,forward,no_history,R,1.0,0.0
gemma2_9b,C09,reverse,history,C1,1.0,0.0
gemma2_9b,C09,reverse,history,C2,1.0,0.0
gemma2_9b,C09,reverse,history,C3,1.0,0.0
gemma2_9b,C09,reverse,history,C4,1.0,0.0
gemma2_9b,C09,reverse,history,R,1.0,0.0
gemma2_9b,C09,reverse,no_history,C1,1.0,0.0
gemma2_9b,C09,reverse,no_history,C2,1.0,0.0
gemma2_9b,C09,reverse,no_history,C3,1.0,0.0
gemma2_9b,C09,reverse,no_history,C4,1.0,0.0
gemma2_9b,C09,reverse,no_history,R,1.0,0.0
gemma2_9b,C10,forward,history,C1,1.0,0.0
gemma2_9b,C10,forward,history,C2,1.0,0.0
gemma2_9b,C10,forward,history,C3,1.0,0.0
gemma2_9b,C10,forward,history,C4,1.0,0.0
gemma2_9b,C10,forward,history,R,1.0,0.0
gemma2_9b,C10,forward,no_history,C1,1.0,0.0
gemma2_9b,C10,forward,no_history,C2,1.0,0.0
gemma2_9b,C10,forward,no_history,C3,1.0,0.0
gemma2_9b,C10,forward,no_history,C4,1.0,0.0
gemma2_9b,C10,forward,no_history,R,1.0,0.0
gemma2_9b,C10,reverse,history,C1,1.0,0.0
gemma2_9b,C10,reverse,history,C2,1.0,0.0
gemma2_9b,C10,reverse,history,C3,1.0,0.0
gemma2_9b,C10,reverse,history,C4,1.0,0.0
gemma2_9b,C10,reverse,history,R,1.0,0.0
gemma2_9b,C10,reverse,no_history,C1,1.0,0.0
gemma2_9b,C10,reverse,no_history,C2,1.0,0.0
gemma2_9b,C10,reverse,no_history,C3,1.0,0.0
gemma2_9b,C10,reverse,no_history,C4,1.0,0.0
gemma2_9b,C10,reverse,no_history,R,1.0,0.0
gemma2_9b,C11,forward,history,C1,1.0,0.0
gemma2_9b,C11,forward,history,C2,1.0,0.0
gemma2_9b,C11,forward,history,C3,1.0,0.0
gemma2_9b,C11,forward,history,C4,1.0,0.0
gemma2_9b,C11,forward,history,R,1.0,0.0
gemma2_9b,C11,forward,no_history,C1,1.0,0.0
gemma2_9b,C11,forward,no_history,C2,1.0,0.0
gemma2_9b,C11,forward,no_history,C3,1.0,0.0
gemma2_9b,C11,forward,no_history,C4,1.0,0.0
gemma2_9b,C11,forward,no_history,R,1.0,0.0
gemma2_9b,C11,reverse,history,C1,1.0,0.0
gemma2_9b,C11,reverse,history,C2,1.0,0.0
gemma2_9b,C11,reverse,history,C3,1.0,0.0
gemma2_9b,C11,reverse,history,C4,1.0,0.0
gemma2_9b,C11,reverse,history,R,1.0,0.0
gemma2_9b,C11,reverse,no_history,C1,1.0,0.0
gemma2_9b,C11,reverse,no_history,C2,1.0,0.0
gemma2_9b,C11,reverse,no_history,C3,1.0,0.0
gemma2_9b,C11,reverse,no_history,C4,1.0,0.0
gemma2_9b,C11,reverse,no_history,R,1.0,0.0
gemma2_9b,C12,forward,history,C1,1.0,0.0
gemma2_9b,C12,forward,history,C2,1.0,0.0
gemma2_9b,C12,forward,history,C3,1.0,0.0
gemma2_9b,C12,forward,history,C4,1.0,0.0
gemma2_9b,C12,forward,history,R,1.0,0.0
gemma2_9b,C12,forward,no_history,C1,1.0,0.0
gemma2_9b,C12,forward,no_history,C2,1.0,0.0
gemma2_9b,C12,forward,no_history,C3,1.0,0.0
gemma2_9b,C12,forward,no_history,C4,1.0,0.0
gemma2_9b,C12,forward,no_history,R,1.0,0.0
gemma2_9b,C12,reverse,history,C1,1.0,0.0
gemma2_9b,C12,reverse,history,C2,1.0,0.0
gemma2_9b,C12,reverse,history,C3,1.0,0.0
gemma2_9b,C12,reverse,history,C4,1.0,0.0
gemma2_9b,C12,reverse,history,R,1.0,0.0
gemma2_9b,C12,reverse,no_history,C1,1.0,0.0
gemma2_9b,C12,reverse,no_history,C2,1.0,0.0
gemma2_9b,C12,reverse,no_history,C3,1.0,0.0
gemma2_9b,C12,reverse,no_history,C4,1.0,0.0
gemma2_9b,C12,reverse,no_history,R,1.0,0.0
gemma2_9b,D01,forward,history,C1,1.0,0.0
gemma2_9b,D01,forward,history,C2,1.0,0.0
gemma2_9b,D01,forward,history,C3,1.0,0.0
gemma2_9b,D01,forward,history,C4,1.0,0.0
gemma2_9b,D01,forward,history,R,1.0,0.0
gemma2_9b,D01,forward,no_history,C1,1.0,0.0
gemma2_9b,D01,forward,no_history,C2,1.0,0.0
gemma2_9b,D01,forward,no_history,C3,1.0,0.0
gemma2_9b,D01,forward,no_history,C4,1.0,0.0
